strain,condition,dose_µM,trait,phenotype,Broad_sense_heritability
N2,Amsacrine,50,q75.TOF,-127.340909090909,0.465490738283857
N2,Amsacrine,100,q75.TOF,-164.840909090909,0.539685279872395
CB4856,Amsacrine,0,q75.TOF,-10.3958333333333,1.52089533533071e-32
CB4856,Amsacrine,12,q75.TOF,-4.39583333333331,0.275278928843269
CB4856,Amsacrine,25,q75.TOF,-55.6458333333333,0.191585438255204
CB4856,Amsacrine,50,q75.TOF,-96.3958333333333,0.465490738283857
CB4856,Amsacrine,100,q75.TOF,-168.645833333333,0.539685279872395
N2,Amsacrine,0,q75.TOF,92.6590909090909,1.52089533533071e-32
N2,Amsacrine,125,q75.TOF,-151.840909090909,0.0931654462280269
N2,Amsacrine,250,q75.TOF,-204.840909090909,0.78420763164208
JU258,Amsacrine,0,q75.TOF,-208.9375,1.52089533533071e-32
JU258,Amsacrine,125,q75.TOF,-214.9375,0.0931654462280269
CB4856,Amsacrine,0,q75.TOF,110.604166666667,1.52089533533071e-32
CB4856,Amsacrine,125,q75.TOF,-193.395833333333,0.0931654462280269
CB4856,Amsacrine,250,q75.TOF,-181.645833333333,0.78420763164208
DL238,Amsacrine,125,q75.TOF,-208.068181818182,0.0931654462280269
CB4856,Amsacrine,0,q75.TOF,48.8541666666667,1.52089533533071e-32
CB4856,Amsacrine,125,q75.TOF,-120.895833333333,0.0931654462280269
CB4856,Amsacrine,250,q75.TOF,-168.145833333333,0.78420763164208
